cdr_id,subscriber_id,call_type,call_start_ts,call_end_ts,duration_seconds,data_mb,originating_number,terminating_number,tower_id,network_type,roaming_country,call_cost,rating_status,is_anomaly,event_date
bc325eaf-28dd-4ac1-b931-76825784973b,288f6711-3270-414c-ba34-06cc937dadc9,voice_mt,2023-12-30 22:56:26,2023-12-31 00:50:41,6855,,+18371814604,+12372495474,TWR-60273,5G_NSA,,22.5704,rated,0,2023-12-30
4f58f087-c1b1-44fe-ab89-45cca8037a90,caf66c0e-254c-4b40-afc2-924a910bc615,roaming_voice,2023-01-04 11:08:22,2023-01-04 11:21:16,774,,+15752309507,+15511892436,TWR-88042,5G,,10.9475,rated,0,2023-01-04
473bad81-0bef-4bb2-afa7-d9c62eecaa6b,81c6db5c-396b-48e6-a214-e9142562cb95,voicemail,2022-03-04 10:31:35,2022-03-04 11:04:50,1995,,+13285619734,+12773243133,TWR-65760,WiFi_calling,,71.2482,rated,0,2022-03-04
f41a8b7c-4771-49e8-af3f-49d15a9397e1,a7c1ebdf-c663-4b9a-af2e-4cd04561d192,sms_mo,2022-03-26 03:03:58,2022-03-26 03:03:58,,,+16383199266,+17652006113,TWR-11461,WiFi_calling,,0.0,rated,0,2022-03-26
976588f2-ae6c-4452-9341-68b64fd9fc61,7e037e4f-7b09-480b-8d3a-579c95903953,roaming_voice,2024-10-12 02:15:03,2024-10-12 03:43:12,5289,,+19626081872,+15642748455,TWR-25560,WiFi_calling,FR,261.6106,rated,0,2024-10-12
0003fd0f-2288-429f-8635-72cf41e4c7da,de3a28ac-9698-4a14-b6a0-b4cee5670f8a,sms_mt,2022-08-28 21:54:27,2022-08-28 21:54:27,,,+18447711272,+12574042615,TWR-99635,5G_NSA,,0.0,rated,0,2022-08-28
c0500299-c54f-48a2-b342-9ea33b8d936d,11171052-5f69-43f1-a119-a208c1650107,roaming_voice,2023-05-23 20:11:14,2023-05-23 21:23:39,4345,,+15179888109,+17192619886,TWR-62772,3G,MX,160.7514,rated,0,2023-05-23
e05aea1f-eeb5-4424-8868-6967d95eaafe,2faa9b87-6f2f-45eb-8a2a-ac2e59677ec1,sms_mo,2022-04-23 06:49:14,2022-04-23 06:49:14,,,+16159390568,+18842009932,TWR-50718,3G,,0.0,rated,0,2022-04-23
e6afa987-7099-45a3-910d-90b22fb79a24,d4b0bc3f-54c1-4a5d-8fa2-ed2753265740,voicemail,2022-04-24 05:58:55,2022-04-24 06:54:36,3341,,+18936207217,+19744591068,TWR-58889,LTE,,134.4227,rated,0,2022-04-24
eddf33ba-597b-4092-b63f-48353767347f,fbe288ca-7078-4ac9-8a1b-279bf277b7f8,voice_mt,2023-02-03 01:11:57,2023-02-03 01:23:00,663,,+16198675858,+18964433050,TWR-51468,4G,,27.8584,rated,0,2023-02-03
0ce7f894-bfc5-4c88-b60e-50464ea8bb98,b121a308-8493-4156-9188-6bc35ff22623,sms_mo,2023-02-10 02:14:12,2023-02-10 02:14:12,,,+13878031033,+15027226946,TWR-62310,5G,,0.0,rated,0,2023-02-10
95c54f07-7465-4048-9a60-3952e2868ed3,080b0691-782e-4791-9430-fe40b04f8ecf,roaming_voice,2023-09-11 14:50:21,2023-09-11 16:36:53,6392,,+14268570987,+17168169845,TWR-36707,4G,GB,290.3332,rated,0,2023-09-11
5d2f2d10-1e85-4132-a712-a7d2915cce32,d344147f-2582-46ed-8464-327178c9c55d,data_session,2023-12-11 17:07:01,2023-12-12 07:38:14,52273,7674.748,+13467697976,,TWR-57409,5G,,1982.7459,rated,0,2023-12-11
6c570422-c5e3-4cd0-8972-9d089663a2b1,490d24af-5581-468d-8b29-15870f8fb44e,sms_mt,2023-12-10 01:40:30,2023-12-10 01:40:30,,,+12064765372,+14398568485,TWR-17316,4G,,0.0,rated,0,2023-12-10
0291bfd7-8c71-4a71-8641-d1c0da701ae6,c036429f-0eb2-4ee6-8464-d70a009c6023,roaming_data,2024-02-21 02:01:19,2024-02-21 15:27:08,48349,5449.508,+13288159288,,TWR-83526,4G,CA,265.6047,rated,0,2024-02-21
c0fb4778-8b14-4531-812f-97824224e9dc,7e6e12a7-0a9c-4403-9a18-90def9de5680,voicemail,2022-07-23 16:29:14,2022-07-23 17:39:09,4195,,+18670580750,+18287760298,TWR-33284,3G,,35.5363,rated,0,2022-07-23
a39da517-a97c-4d65-b2e4-c7397d8fedd5,09a90479-5be7-4c51-9733-c117ab9162de,voicemail,2022-01-15 14:41:18,2022-01-15 16:00:54,4776,,+13421580603,+15691009374,TWR-90375,LTE,,37.693,rated,0,2022-01-15
0780ae62-f657-434c-b436-db2e73ba49d7,9b55ec55-ee20-4e9a-969f-7010dac31f0f,sms_mt,2024-08-12 15:28:58,2024-08-12 15:28:58,,,+13276102753,+19729545661,TWR-42731,5G,,0.0,unrated,0,2024-08-12
db9c484a-9322-4fa5-b2d2-e7b375183b4c,692bd1c0-1a3e-4701-b7b3-c6cab209ffa5,voice_mt,2024-04-11 06:03:39,2024-04-11 07:30:50,5231,,+13671641262,+15211489681,TWR-68061,5G_NSA,,131.4696,rated,0,2024-04-11
757f66bc-5085-49c9-b7e7-c34492104679,83567a87-5e93-4569-828a-868b0baa60ba,voice_mo,2024-01-03 10:59:47,2024-01-03 11:32:39,1972,,+16248938643,+18397227490,TWR-43761,3G,,2.3703,rated,0,2024-01-03
51643326-e7a7-4413-81e9-6d7c832efd68,464c9712-fdc8-40df-9c0b-f56b6e208034,voice_mt,2022-04-16 18:31:12,2022-04-16 20:14:32,6200,,+16433375686,+14620599830,TWR-64922,5G_NSA,,32.7206,rated,0,2022-04-16
9850b293-e40d-4f1d-9e0f-bd360869c37a,de9aa901-c1ac-4c10-9e89-8d37d859ff8a,roaming_voice,2024-11-01 15:40:06,2024-11-01 15:44:24,258,,+16047978192,+12699903345,TWR-32824,5G,FR,2.0217,rated,0,2024-11-01
0c774a42-91d7-4e3a-97f9-bc295e4101ff,2567994d-a76d-4dda-988d-51f28ae8ec6c,data_session,2022-08-24 05:59:02,2022-08-24 22:49:29,60627,2297.071,+19963259337,,TWR-65732,LTE,,1503.5701,unrated,0,2022-08-24
b9525a57-5a7f-4f64-a9ed-e7ce3d9e7da9,26686f5a-f05e-4b37-ba42-dfd04a71ab69,voice_mt,2023-02-17 00:37:59,2023-02-17 01:04:44,1605,,+14761858527,+13320853062,TWR-63652,LTE,,8.9472,rated,0,2023-02-17
21ee09b2-b51e-47b4-8c57-e4eb238d81ff,70d09d38-9c2b-4865-b849-fd6e1c616e84,sms_mo,2022-12-26 09:57:48,2022-12-26 09:57:48,,,+14929226622,+18629411294,TWR-51147,LTE,,0.0,rated,0,2022-12-26
e75add1c-fe19-4da0-bca3-5b3fd86ddbff,bf27a886-9ad6-40ec-b516-d749b5fa178c,roaming_data,2023-01-26 23:31:51,2023-01-27 15:41:59,58208,5276.795,+14809270824,,TWR-67896,5G,CA,,rated,0,2023-01-26
f41e494b-6c96-4a88-8a2d-be78dbf10c95,50b2c97a-234e-4492-9d81-9c54ac6a1f67,roaming_voice,2023-04-01 07:08:37,2023-04-01 07:09:53,76,,+14495993267,+13829895699,TWR-37864,WiFi_calling,JP,1.6636,rated,0,2023-04-01
66227dff-ae5d-4287-bc90-855125ec3b11,a02e4a17-a650-4773-95f9-b9085a16c214,voice_mo,2022-07-31 00:55:57,2022-07-31 02:29:14,5597,,+15476732048,+16599144162,TWR-14927,LTE,,180.4439,unrated,0,2022-07-31
d8f5bb24-5ce0-43d9-b614-30b1b454026f,89667b96-ca34-4e1d-b8ce-b43319493e7b,voice_mt,2022-11-30 03:37:31,2022-11-30 04:25:58,2907,,+19315029303,+15020519203,TWR-93894,5G_NSA,,104.9487,rated,0,2022-11-30
c9d30a7a-46e2-49e3-8c83-5a9271efbed4,5e522efc-e649-4550-a73a-9f8c37baad89,voice_mt,2024-08-16 11:56:08,2024-08-16 12:30:42,2074,,+19374974631,+19848929906,TWR-81495,5G_NSA,,50.9271,rated,0,2024-08-16
7d125420-95f9-48c5-8ede-e3e5b82fb9d8,d668e9b0-79db-4959-878f-2a8fe8e7a624,data_session,2024-09-16 19:54:52,2024-09-17 19:37:14,85342,5688.202,+17763643427,,TWR-33284,LTE,,1192.1693,rated,0,2024-09-16
23779703-0db9-4d17-96b6-b28549b4df27,cabca326-8949-4a89-8c68-4e969a5b7859,voice_mt,2024-02-12 19:39:48,2024-02-12 21:28:34,6526,,+16149484729,+13249996925,TWR-54408,5G_NSA,,320.434,rated,0,2024-02-12
9a3c9b99-cdc7-4088-860a-bbfba9d20baa,4dbeefeb-8114-4d12-bb99-207310b48953,sms_mt,2022-01-27 21:47:18,2022-01-27 21:47:18,,,+12258574732,+17334131503,TWR-50818,WiFi_calling,,0.0,rated,0,2022-01-27
5ac33abc-5e22-43bc-ae41-fd2508db1911,4e797915-87fa-4314-a228-8195e26c45b9,sms_mo,2024-07-23 18:19:22,2024-07-23 18:19:22,,,+15476104745,+18564447881,TWR-32437,5G,,0.0,unrated,0,2024-07-23
36e039e6-f7f5-4457-a91d-fd86316e984d,932fb897-bf01-4896-8726-a1a6de965e34,roaming_data,2023-09-23 21:56:06,2023-09-24 07:09:49,33223,7778.64,+17125915851,,TWR-28731,LTE,IN,957.3893,rated,0,2023-09-23
8e45b7d0-a903-4f8b-9ef2-c7df8f484662,751f3cc9-1634-41f6-949e-f0e67d0d195e,voice_mo,2022-03-25 22:25:58,2022-03-25 23:23:30,3452,,+13999047531,+19294378305,TWR-59018,LTE,,73.6677,rated,0,2022-03-25
925585c0-f154-48df-b886-b005bc6275dd,99de9869-fed1-41e5-8949-2ef973fa731c,voice_mt,2024-02-03 16:04:10,2024-02-03 16:23:38,1168,,+17905591541,+14306996766,TWR-42731,5G,,16.8134,rated,0,2024-02-03
f7126015-43c5-4b2c-8717-24df901d5de2,a50a4027-5c52-4508-96c6-65a4c6c21931,roaming_voice,2023-01-21 04:53:23,2023-01-21 05:19:14,1551,,+17334589365,+17120245788,TWR-68192,4G,DE,16.8816,rated,0,2023-01-21
e7a89358-c242-4756-adcf-8b4bd04bb225,0bc126a8-61ff-474f-99eb-26dd8a8d20ca,sms_mt,2022-01-01 19:01:11,2022-01-01 19:01:11,,,+17481974263,+18684594486,TWR-62351,5G_NSA,,0.0,rated,0,2022-01-01
88bbb5b9-c3dd-4186-b2a7-91238f049e7d,b086cc28-e1d6-4bc1-88c3-889d9293f536,voicemail,2024-08-21 23:27:48,2024-08-22 00:26:41,3533,,+14182441168,+16170146264,TWR-10565,4G,,62.4341,rated,0,2024-08-21
1d863ded-ade1-4c32-8c3c-812a338d1ac3,1c83e0e7-848e-4657-9450-b6c22cb30dde,voicemail,2022-04-12 20:03:29,2022-04-12 20:47:21,2632,,+18809428640,+18232219459,TWR-80599,LTE,,128.6387,partial,0,2022-04-12
4daf1b26-e419-484e-8ee3-6a14c5ce16e7,0c9b0513-dde9-40bc-871d-d6d7fb1537d0,voicemail,2022-06-30 13:24:10,2022-06-30 13:31:19,429,,+17898910702,+17187235399,TWR-59410,5G_NSA,,5.1866,rated,0,2022-06-30
9664b8cd-2626-4025-8861-cb64c0878c44,08a7bd99-5d35-4b3e-9d25-8e6b7679d680,data_session,2024-03-07 04:08:25,2024-03-07 17:02:00,46415,5323.822,+14436972568,,TWR-10998,LTE,,1366.8306,rated,0,2024-03-07
45506e88-a459-47e0-99a2-54562ec7521b,f6c35958-f3b0-452d-bd50-5aa523043fef,sms_mt,2024-02-08 19:47:42,2024-02-08 19:47:42,,,+14891048282,+13480598308,TWR-70487,3G,,0.0,rated,0,2024-02-08
b3020a1e-ad88-4ff5-ad74-5a82270a0094,72928446-8340-4aa3-a4fb-ae3277cd8a6e,sms_mt,2022-10-25 18:35:32,2022-10-25 18:35:32,,,+15419565779,+12057524501,TWR-32499,5G_NSA,,0.0,rated,0,2022-10-25
5e238cd6-90b4-484a-a3bf-3b57f64821b0,62c33d18-6328-442b-b74d-4d63c294e099,sms_mo,2022-12-17 10:34:02,2022-12-17 10:34:02,,,+13845427523,+12261621042,TWR-28731,LTE,,0.0,rated,0,2022-12-17
47cb148f-43ed-4cdf-b15c-f041614a9a9e,fa29d837-5885-4e66-8a4f-66a4f13bea06,data_session,2022-02-07 15:03:04,2022-02-08 06:37:51,56087,4267.53,+14663299191,,TWR-59670,WiFi_calling,,2259.5086,rated,0,2022-02-07
b4a20b55-dfa2-411e-9f68-52fee7ee102a,5343ffb0-3bf0-4378-bd5b-6cea3ae162e0,voice_mt,2024-04-09 06:01:15,2024-04-09 06:45:31,2656,,+14849204935,+18576547527,TWR-64922,5G,,8.2092,rated,0,2024-04-09
6ef65f79-2d6a-4202-a86b-8b97e548eb8b,c7d1d62a-f87e-459f-bc8e-84f9866dd266,sms_mo,2022-02-22 15:25:16,2022-02-22 15:25:16,,,+14096165592,+19423238027,TWR-70566,4G,,0.0,rated,0,2022-02-22
d8b46983-632b-441a-a49a-423dec2869a4,f27e84c7-5364-4828-a009-2b50614bbedb,roaming_voice,2022-06-25 16:47:36,2022-06-25 17:37:41,3005,,+19882364152,+19798336348,TWR-98785,5G,IN,104.8137,rated,0,2022-06-25
b8485063-17d6-47cb-92d6-42c2fd0d71ae,114aca75-7aae-4be9-9794-8ba8b2151fc4,voice_mt,2023-01-06 22:06:12,2023-01-06 22:50:47,2675,,+13687427820,+17049153100,TWR-37864,3G,,32.922,unrated,0,2023-01-06
a795c311-4f63-4ae9-8539-b4fe0a6e6346,649d3df5-cb0a-4b00-9e7d-773ffd6417ae,data_session,2024-07-27 14:11:51,2024-07-28 09:09:03,68232,5223.774,+16243499215,,TWR-26561,5G_NSA,,2302.3731,partial,0,2024-07-27
20ceaa0c-d9a3-4cd1-8df8-ee840a7cbf21,7f950b19-c2a2-4e24-8a2f-740120a39f15,roaming_data,2024-01-21 17:46:52,2024-01-21 18:13:55,1623,4630.489,+12651333118,,TWR-75948,4G,DE,59.1201,rated,0,2024-01-21
db7acb4b-6d38-4ac3-9183-992e226d3aab,80827bdf-d904-449c-add3-86fd3b821478,data_session,2023-09-10 08:31:43,2023-09-10 21:29:21,46658,3395.843,+18036219531,,TWR-16726,5G_NSA,,372.6235,unrated,0,2023-09-10
d2336857-da3e-41d9-904f-7761523c2a7c,1aefd37f-aca9-4b9e-8c67-98424b965efa,data_session,2022-11-17 22:40:35,2022-11-18 10:50:44,43809,1290.962,+16671674833,,TWR-32824,4G,,787.1036,rated,0,2022-11-17
bdd6ef15-2be4-48c2-bad0-4c7930ccce7f,b0651c4f-d584-41c6-9b2a-7cd173e99269,voice_mt,2022-08-21 19:33:59,2022-08-21 19:58:28,1469,,+19388423349,+14458262588,TWR-26301,3G,,7.6158,error,0,2022-08-21
b4dc408f-18bd-4c91-8a79-9ea6d783fff6,3c7942fb-c3a5-435e-8d86-534ff2a7a47b,sms_mo,2023-11-23 04:48:24,2023-11-23 04:48:24,,,+12701348391,+12487949456,TWR-48126,4G,,0.0,unrated,0,2023-11-23
eca6ceaf-c906-4636-86d6-f09e364ee285,5f75ef6b-6965-4354-b215-28e05a5fe7a4,voice_mt,2022-02-07 03:14:59,2022-02-07 03:55:17,2418,,+14456841944,+18529995816,TWR-59906,WiFi_calling,,96.4449,rated,0,2022-02-07
5766d985-f709-4fdd-9d14-2eea1de067fe,cb00f2dd-2197-4507-9eed-83282f125974,voice_mo,2024-11-06 09:26:13,2024-11-06 09:42:11,958,,+17714337965,+12802503226,TWR-79574,3G,,43.1819,rated,0,2024-11-06
8113b709-93ca-45d0-a1f8-6394c339c725,d16ad7b2-8e57-4664-b218-389d51dcf057,roaming_voice,2023-08-02 16:02:51,2023-08-02 17:37:16,5665,,+12974588454,+15919010919,TWR-58889,LTE,DE,240.9832,rated,0,2023-08-02
13d07f89-5af2-46e7-bcc3-0e732f53d328,04ff296c-4672-4117-83a0-c8a6307517aa,data_session,2023-12-26 12:59:28,2023-12-27 10:19:35,76807,5470.274,+14260956936,,TWR-43663,LTE,,363.0654,rated,0,2023-12-26
e322e485-080d-41ff-bfcc-7dc45039cd34,ea14cdfc-2617-4518-8bcf-cfa5e0d0c6cb,roaming_data,2023-12-31 14:34:21,2023-12-31 18:06:17,12716,533.944,+12685156941,,TWR-98381,WiFi_calling,GB,13.0863,rated,0,2023-12-31
15ca8e80-e219-4335-80a1-99146d5b118e,d8028e46-5518-43a2-9f59-513825034f10,voicemail,2022-04-22 02:49:01,2022-04-22 03:34:39,2738,,+15107129632,+19635643986,TWR-83526,5G_NSA,,85.4107,rated,0,2022-04-22
ff34f7a2-b8a2-4095-be92-8b0744865274,79d7739c-9fee-4c3c-b4f8-8559ed4ad19b,voice_mo,2024-04-19 02:22:53,2024-04-19 03:53:45,5452,,+18877921794,+18666830863,TWR-35489,LTE,,69.4533,unrated,0,2024-04-19
df7c1e57-f924-4fc2-9aa7-cf9229598c31,c43cec77-ca9c-4b24-808e-d7b05899b369,roaming_data,2023-04-08 17:06:08,2023-04-08 17:39:08,1980,1992.448,+12407892365,,TWR-62351,5G_NSA,US,92.6546,unrated,0,2023-04-08
3c3a6f68-8e71-4533-9e78-0fbe2e52c7e5,9ec998a9-c4ab-4a24-9c47-8b724bbb9565,roaming_voice,2023-05-25 20:03:41,2023-05-25 21:15:22,4301,,+12199848106,+14571987258,TWR-93942,LTE,GB,185.6967,rated,0,2023-05-25
95d320f7-7992-4757-bc40-bc968a8b2546,72928446-8340-4aa3-a4fb-ae3277cd8a6e,voice_mt,2024-05-17 08:17:19,2024-05-17 10:11:56,6877,,+19802556238,+17902309459,TWR-51468,3G,,313.1397,rated,0,2024-05-17
cc39c040-e472-443b-87a3-bc6a9e27a0c4,3498b498-2b5f-48e7-99e5-b4464418207f,sms_mt,2023-06-12 22:48:18,2023-06-12 22:48:18,,,+16586861473,+17761925247,TWR-38288,WiFi_calling,,0.0,rated,0,2023-06-12
fb3b221a-df88-49a3-bf93-6123bbc0488e,4b8ae5bc-ce69-4a51-9300-b131117e03d5,roaming_data,2023-06-29 06:42:14,2023-06-29 11:35:31,17597,4237.716,+15695746876,,TWR-90375,LTE,JP,490.5201,rated,0,2023-06-29
ddad0e0f-3bd7-4962-90a2-b8cf6bddeb48,ce39e10d-46fb-40f3-b9aa-88099a6e1d6c,sms_mt,2024-01-08 12:02:00,2024-01-08 12:02:00,,,+18774508083,+15065194626,TWR-40180,4G,,0.0,rated,0,2024-01-08
cfd6353e-d3f7-4e4a-ad24-4308b9dcb57b,b0a11d3b-8277-4f37-8a14-97cc04df0e68,data_session,2023-05-22 02:32:19,2023-05-22 09:03:28,23469,4738.366,+18804461529,,TWR-62950,4G,,1143.5667,rated,0,2023-05-22
5bfeb0ed-424e-4dbc-84e3-d79ee5015b37,92c82402-c05f-443c-99ca-86cb9a584cd6,voice_mo,2022-01-19 07:37:39,2022-01-19 09:14:39,5820,,+14255980922,+13210563785,TWR-79299,5G_NSA,,51.2346,rated,0,2022-01-19
1d1226b5-921d-4bf1-86b8-6a8fbf7ed5d4,e9db60a1-e0a1-4496-b6a3-4adb732999fb,data_session,2022-02-01 10:25:21,2022-02-01 21:42:58,40657,1897.326,+18282266730,,TWR-78603,4G,,1037.0106,rated,0,2022-02-01
8735405f-e588-44fb-8158-776d36c4456e,b8b111a9-c472-4df2-a5bd-b9c816f13a22,data_session,2022-12-19 17:04:44,2022-12-19 20:21:36,11812,1762.51,+17038047870,,TWR-29072,WiFi_calling,,116.5871,error,0,2022-12-19
d33b60f0-1e5d-47db-917f-65a3d6c2b670,de132fd6-9585-46ca-81d2-0629c9d5451f,data_session,2022-12-21 00:46:54,2022-12-21 03:13:27,8793,7597.859,+12446498891,,TWR-33462,5G,,432.9804,rated,0,2022-12-21
409b8705-f2d8-4fc6-9989-9d81d5251adf,6e851d0d-c871-481b-b50e-248fd325769f,voice_mo,2024-11-29 13:01:45,2024-11-29 14:44:57,6192,,+17172467125,+18355331300,TWR-38288,5G_NSA,,252.5998,rated,0,2024-11-29
28d6106c-43f0-4f7d-9f30-da057002b998,d7e8252a-2502-4c39-9cb2-99a49a2a8f30,roaming_data,2022-02-26 11:32:10,2022-02-26 20:08:46,30996,5085.914,+17801437198,,TWR-84306,3G,US,1106.0499,rated,0,2022-02-26
be545bc4-244e-4be8-99e7-b8f1c42e8994,72928446-8340-4aa3-a4fb-ae3277cd8a6e,roaming_data,2023-01-31 22:37:13,2023-02-01 05:39:27,25334,4034.445,+13586450610,,TWR-95764,4G,CA,618.1426,rated,0,2023-01-31
433e85e9-77a9-4507-9360-40273cfebe89,5a7fe944-f300-41dc-93b7-57a92aa007d1,sms_mo,2023-12-09 11:59:49,2023-12-09 11:59:49,,,+12307342485,+13867244504,TWR-50607,5G,,0.0,rated,0,2023-12-09
1086f1e8-8958-43e4-9602-534f8eb58dce,e805a972-6aee-4dac-8122-c81f1d9a4782,sms_mt,2023-07-12 09:55:25,2023-07-12 09:55:25,,,+19734960381,+19110425572,TWR-64922,5G_NSA,,0.0,rated,0,2023-07-12
4f7cf48a-9b8e-4cdf-bc41-aaf39c5730ba,40058716-6dd4-4013-8c91-2d30e54d1aae,roaming_data,2024-11-18 19:03:24,2024-11-19 10:22:37,55153,7155.625,+15055984494,,TWR-47711,3G,,1747.6542,rated,0,2024-11-18
3bdba6e3-dfb5-4bad-95f8-cd6386402336,be850c86-7b5d-4a22-9193-4124acc28cff,roaming_data,2022-10-19 20:03:05,2022-10-20 03:19:18,26173,3864.772,+15637105041,,TWR-86767,5G_NSA,JP,1108.5047,rated,0,2022-10-19
6deb414d-972e-4193-a1d8-752fd7710ce9,3155cb82-16ab-487f-a4f7-bf1ad01dfd92,roaming_voice,2023-02-06 23:15:15,2023-02-07 01:14:04,7129,,+13399623754,+12403700072,,WiFi_calling,MX,134.8952,rated,0,2023-02-06
3353c40a-77e0-46e2-9df9-f0d9f13c0d2d,e9db60a1-e0a1-4496-b6a3-4adb732999fb,sms_mt,2024-01-11 07:28:53,2024-01-11 07:28:53,,,+19683022746,+13186558516,TWR-19488,LTE,,0.0,rated,0,2024-01-11
75d1a91a-9ae4-40fc-97ca-190eedbdefcf,a50a4027-5c52-4508-96c6-65a4c6c21931,sms_mo,2024-02-24 06:51:02,2024-02-24 06:51:02,,,+15605256518,+18289901661,TWR-63723,WiFi_calling,,0.0,rated,0,2024-02-24
b30c719e-1fa5-42c5-a411-38696d65924b,85d27610-3cdc-487a-8cff-23404a28c686,roaming_data,2024-09-13 03:58:23,2024-09-13 08:37:37,16754,7113.293,+15921471974,,TWR-32824,LTE,GB,43.3744,rated,0,2024-09-13
3a401ac4-4036-4472-a63d-87a0728ac0c8,bf27a886-9ad6-40ec-b516-d749b5fa178c,data_session,2023-07-30 15:14:29,2023-07-31 00:38:29,33840,7313.888,+15724113566,,TWR-47711,4G,,626.4123,rated,0,2023-07-30
4bb8158b-66e5-4ae5-82f2-9f48913ce52c,1f51c6bd-482a-47ff-81ca-ce14a4b5bacb,sms_mt,2024-06-27 23:17:54,2024-06-27 23:17:54,,,+15257253330,+14086811857,TWR-71477,WiFi_calling,,0.0,rated,0,2024-06-27
177cace1-ef4b-4b5b-a5ec-e58507da2564,c097d7bf-ec09-4595-a68c-ad95ecfb9f47,data_session,2023-05-14 19:26:21,2023-05-15 13:41:10,65689,7467.899,+15025588698,,TWR-80040,4G,,2442.605,unrated,0,2023-05-14
9cf499b5-ad50-459e-85b1-68183a1d2863,27a6e368-8d33-4806-bc81-1b9cbd022740,roaming_voice,2023-09-14 06:54:27,2023-09-14 06:58:43,256,,+15568422205,+12759375809,TWR-65195,5G_NSA,CA,4.8622,rated,0,2023-09-14
c25d41e7-df57-456e-8e9c-6f4800d51e88,2ec623e4-f096-4495-9f61-924f5c4be5b4,roaming_data,2022-01-26 20:29:50,2022-01-26 21:29:46,3596,333.108,+15476716903,,TWR-75954,5G_NSA,FR,109.8485,rated,0,2022-01-26
ca529602-e964-4913-8ae3-88b623be0244,1d39d1c2-edc9-4d9b-856d-bcccd3962879,roaming_voice,2023-09-17 03:32:41,2023-09-17 05:01:09,5308,,+14397115026,+17660363239,TWR-62961,4G,IN,181.4018,rated,0,2023-09-17
c50e593e-faec-4658-acec-d46e0731ac9f,bcb50262-802a-4316-b88e-858984574696,roaming_data,2023-09-20 14:16:22,2023-09-20 21:50:12,27230,1328.852,+13558192640,,TWR-70566,3G,,182.8655,rated,0,2023-09-20
c45616c0-e05f-46a7-9fdb-cd7b23e5ec04,dd1e5698-705f-47a5-9cf5-4b2acf0cc9df,voicemail,2022-08-21 11:46:26,2022-08-21 12:35:39,2953,,+13296070946,+19072604597,TWR-90085,3G,,109.5969,rated,0,2022-08-21
27557331-0712-4d3f-94d9-d4d167231e34,68a9d391-5242-463e-a2b7-30c8271f8e6d,roaming_voice,2024-07-03 19:21:34,2024-07-03 21:17:15,6941,,+19216767810,+18509832531,TWR-59670,WiFi_calling,BR,184.3522,rated,0,2024-07-03
